"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"474","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2026-2027/275292","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","11-Aug-2026","PRINCE KUMAR","Payment Success","989351"
"475","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2026-2027/275291","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","11-Aug-2026","PRINCE KUMAR","Payment Success","1481607"
"476","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/201838","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","14-Aug-2026","THANKACHAN MATHEW","Payment Success","291101"
"477","West Bengal","Lighting of public spaces","WS/MP888/2025-2026/145089","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","18-Aug-2026","JAKARUL HOSSIAN","Payment Success","5280444"
"478","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299125","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Aug-2026","Mamta Rani","Payment Success","74800"
"479","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299125","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Aug-2026","Harmandeep Singh","Payment Success","22410"
"480","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18422/2025-2026/250542","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","12-Aug-2026","Durvankur Majoor Sah San Ltd Vangal","Payment Success","997019"
"481","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/277159","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Aug-2026","Gill Engineer Works","Payment Success","47557"
"482","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP18403/2025-2026/219864","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","18-Aug-2026","ASH HOSPICA PRIVATE LIMITED","Payment Success","200"
"483","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP18403/2025-2026/219864","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","18-Aug-2026","ASH HOSPICA PRIVATE LIMITED","Payment Success","5973"
